YearsExperience,Salary,,,
1,35197.62,,,
1,35197.62,,,
4,67115.31,,,
3,56476.08,,,
2,45836.85,,,
4,67115.31,,,
3,56476.08,,,
1,35197.62,,,
3,56476.08,,,
2,45836.85,,,
1,35197.62,,,
3,56476.08,,,
4,67115.31,,,
2,45836.85,,,
3,56476.08,,,
4,67115.31,,,
3,56476.08,,,
2,45836.85,,,
4,67115.31,,,
2,45836.85,,,
1,35197.62,,,
4,67115.31,,,
3,56476.08,,,
3,56476.08,,,
2,45836.85,,,
2,45836.85,,,
2,45836.85,,,
1,35197.62,,,
4,67115.31,,,
2,45836.85,,,
1,35197.62,,,
3,56476.08,,,
4,67115.31,,,
2,45836.85,,,
1,35197.62,,,
3,56476.08,,,
1,35197.62,,,
2,45836.85,,,
3,56476.08,,,
3,56476.08,,,
2,45836.85,,,
4,67115.31,,,
4,67115.31,,,
1,35197.62,,,
2,45836.85,,,
4,67115.31,,,
4,67115.31,,,
1,35197.62,,,
4,67115.31,,,
3,56476.08,,,
4,67115.31,,,
1,35197.62,,,
1,35197.62,,,
2,45836.85,,,
4,67115.31,,,
1,35197.62,,,
3,56476.08,,,
1,35197.62,,,
4,67115.31,,,
2,45836.85,,,
4,67115.31,,,
4,67115.31,,,
2,45836.85,,,
2,45836.85,,,
4,67115.31,,,
4,67115.31,,,
2,45836.85,,,
3,56476.08,,,
3,56476.08,,,
4,67115.31,,,
1,35197.62,,,
3,56476.08,,,
4,67115.31,,,
2,45836.85,,,
2,45836.85,,,
3,56476.08,,,
2,45836.85,,,
3,56476.08,,,
3,56476.08,,,
1,35197.62,,,
1,35197.62,,,
4,67115.31,,,
2,45836.85,,,
2,45836.85,,,
1,35197.62,,,
2,45836.85,,,
3,56476.08,,,
2,45836.85,,,
2,45836.85,,,
4,67115.31,,,
1,35197.62,,,
2,45836.85,,,
3,56476.08,,,
4,67115.31,,,
1,35197.62,,,
3,56476.08, PO Box 5249," MK17 92H. 450Ppw 16""",
3,56476.08,,,
3,56476.08,,,
4,67115.31,,,
2,45836.85,,,
4,67115.31,,,
1,35197.62,,,
2,45836.85,,,
